id,study_area,study_area_type,country,continent,lat_mean,lon_mean,area,variable,surface,process,imerg_type,imerg_vers,record_start,record_end,record_length,temporal_scale,grid_scale,comparison_scale,comparison_method,downscale,grided,gauge_eval,radar_eval,model_eval,satellite_eval,ref_type,timeseries_eval,categ_eval,best_perform,worst_perform,limitations,reference,year,journal,link
PRA16,India,National,India,Asia,22.5,82.7,3287590,Rain,Land,,IMERG_F,IMERG_V03,6/14/2020,9/14/2020,4,daily,0.25,,grid-grid,I,0.25,daily,,,TMPA_3B42V7,gs,,"POD,FAR,CSI,MR","heavy precip-Himalayan foot hills, NW India",frequency of heavy rainfall (NE India),limited to single SW monsoon. gauge density is not sufficient over the Jammu and Kashmir ,"Prakash et al., 2016",2016,Advances in Water Resources,https://reader.elsevier.com/
XU16,Eastern China,Single region,China,Asia,36,116,1368000,Rain,Land,tracing_source_error,IMERG_F,,4/14/2020,10/14/2020,7,1h,0.1,regional,grid-grid,I,,1h,,,,g,"COD,RMSE,Bias(FB,MB,HB)",,spatial pattern of the precipitation,precipitationCal in precip volume,Short period,"Xu et al., 2016",2016,Quarterly Journal of the Royal Meteorological Society,https://www.mdpi.com/2073-4433/7/12/161
WEN16,Various regions,Multiple regions,USA,North America,40,-110,1600000,Snow,Land,,IMERG_F,IMERG_V04,3/14/2020,9/15/2020,19,daily,0.1,,point-grid,F,,daily,daily,,,gr,"COR,RMSE,MAE,RBias",,light snowfall events ,higher intesities,limited to daily scale,"Wen et al., 2016,",2016,Remote Sensing,https://www.mdpi.com/2072-4292/8/11/904
TAN16C,Mid-Atlantic region,Single region,USA,North America,38.07,-75.56,,Rain,Land,,IMERG_F,IMERG_V03,4/14/2020,9/15/2020,18,,,,,,,,,,,g,"COR,NME,NMAE","POD,FAR,HSS,BID",,,,"Tan et al., 2016,",2016,Journal of Hydrometeorology,https://journals.ametsoc.org/doi/10.1175/JHM-D-16-0079.1
XU17,Tibetan Plateau,Single region,China,Asia,32.5,90,,Rain,Land,,IMERG_F,IMERG_V03,5/14/2020,10/14/2020,6,"daily,monthly",,regional,grid-grid,F,,daily,,,TRMM_3B42V7,gs,"COR,RMSE,RBias,MAE","POD,FAR,CSI,HSS,FOH",high-elevation,"low elevation, light rainfall events",short time period record,Xu et al. 2017,2017,Journal of Geophysical Research: Atmospheres,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1002/2016JD025418
MAN17,Tropical Andes,Multiple regions,Ecuador,South America,-8.25,-75.25,1500000,Rain,Land,,IMERG_F,IMERG_V03,4/15/2020,8/15/2020,5,"1h,3h,daily","0.1,0.25",regional,grid-grid,I,,"1h,3h,.daily",,,TMPA_3B42V7,gs,"COR,RMSE,PBias,CDF","POD,FAR,ACC",high-altitude regions,dry Peruvian coastline,Many pixels (90%) contain just one gauge. substantial point-area difference.,"Manz et al., 2017",2017,Journal of Hydrometeorology,https://journals.ametsoc.org/
DEZ17,Tropical Africa,Multiple nations,"Kenya,Ghana",Africa,-8,5,,Rain,Land,,IMERG_F,IMERG_V04,1/15/2020,12/15/2020,12,12h,0.1,regional,point-grid,F,1,subdaily,,,"TMPA_3B42V7,CHIRPS",gs,"COR,MBias,MAD","POD,FAR,CSI,HSS,FBS",diurnal cycle,"mount. reg, annual cycle",uncertainty due to the comparison of point and gridded datasets ,"Dezfuli et al., 2017",2017,Journal of Hydrometeorology,https://journals.ametsoc.org/jhm/article/18/10/2817/69787/Validation-of-IMERG-Precipitation-in-Africa
SAT17,Various regions,Multiple regions,Bolivia,South America,16,-63,1100000,Rain,Land,,IMERG_F,,3/14/2020,12/16/2020,34,"daily,monthly","0.1,0.25","national,basin",grid-grid,I,,"daily,monthly,annual",,,"TMPA_3B42V7,GSMapgauged_V6",gs,"COR,RMSE,PBias,SD","POD,FAR,CSI,Bias","discretize rainy and non-rainy days,dry season (Altiplano arid region)",high slope regions,Uneven distribution of rain gauges.,"Satgé et al., 2017",2017,Remote Sensing,https://www.mdpi.com/2072-4292/9/4/369
NIN17,Various regions,Multiple regions,China,Asia,35,110,5386.3,Rain,Land,,IMERG_F,IMERG_V04,4/14/2020,3/16/2020,24,daily,0.25,national,grid-grid,I,0.25,daily,,,GSMapgauged_V6,gs,"COR,ME","POD,FAR",monthly precipitation accuracy,"warm rain, conv. storms, mount. reg, heavy rain",Limited to eastern china,"Ning et al., 2017",2017,Advances in Meteorology,https://www.hindawi.com/journals/amete/2017/1803492/
PRA17,"Arabian Sea, Bay of Bengal",Multiple regions,India,Asia,14,88,,Rain,Ocean,diurnal cycle as well,IMERG_F,IMERG_V04,3/14/2020,12/15/2020,22,"1h,3h",0.1,,point-grid,F,,1h,,,TMPA_3B42V7,gs,"COR,RMSE,MSE,Bias,CDF","POD,FAR,CSI,MR",north Indian Ocean.,"Diurnal variations, light, extreme precip events","error in buoy precipitation (wind induced undercatch of gauges, evaporation ).Density of buoys is rather sparse.","Prakash et al., 2017",2017,Theoretical and Applied Climatology,https://link.springer.com/
TAN17,Singapore,National,Singapore,Asia,1.25,103.83,720,Rain,Land,,IMERG_F,IMERG_V04,4/14/2020,1/16/2020,22,"daily,monthly,seasonal,annual",0.1,national,grid-grid,I,,"daily,monthly,seasonal,annual",,,"TMPA_3B42,TMPA_3B42RT",gs,"COR,RMSE,Bias,RBias","POD,FAR,CSI","annual, montly precip estimation","moderate, light (0.1–1 mm/day), heavy (>20 mm/day) precip events.",Very simple averaging method to upscale from point-based precipitation to satellites grid scale. Limited no .of gauges,"Tan et al., 2017",2017,Remote Sensing,https://www.mdpi.com/2072-4292/9/7/720
WAN17,Beijiang River Basin,Single region,China,Asia,24,113.4,38672 ,Rain,Land,Hydrological,"IMERG_E,IMERG_L,IMERG_F",,3/14/2020,12/15/2020,22,daily,0.1,basin,grid-grid,I,0.1,daily,,,TMPA_3B42V7,gs,"COR,RMSE,ME,RBias,SD,CRMSE","POD,FAR",IMERG-F in gridscale and basin scale,"north basin, west and the south parts of the basin
",Too short evaluation period (six storms),"Wang et al., 2017",2017,Atmospheric Research,https://reader.elsevier.com/
YAU17,Chindwin Basin,Single region,Myanmar,Asia,24.5,95.5,110350,Rain,Land,Hydrological,IMERG_F,IMERG_V04,4/14/2020,12/15/2020,21,"daily,monthly",0.1,,point-grid,F,,"daily,monthly",,,TMPA_3B42V7,gs,"COR,RMSE,RBias","POD,FAR","temporal variation patterns, monthly","heavy, light rain, daily scale",only five gauge considered for evaluation,Yuan et al. 2017,2017,Atmospheric Research,https://www.mdpi.com/
O17,Feldbach region,Single region,Austria,Europe,46.9,10.9,300,Rain,Land,,"IMERG_E,IMERG_L,IMERG_F",IMERG_V03,4/14/2020,10/15/2020,14,0.5h,0.1,grid,grid-grid,F,,0.5h,,,,g,"COR,RMSE,MAE,RBias","POD,PDF,CDF",IMERG_F,underestimate highrain rates,"very short period, approach is not applicable for other regions","Beria et al., 2017",2017,Hydrology and Earth System Sciences,https://www.hydrol-earth-syst-sci.net/21/6559/2017/
BER17,Indian River Basins,Multple regions,India,Asia,20.5,78.9,3064764,Rain,Land,Hydrological(86basin),IMERG_F,IMERG_V03,3/14/2020,12/14/2020,10,daily,,basin,basin,F,0.25,daily,,,TRMM,gs,"COR,RMSE,PBias","POD,FAR,NSE","reduction in sys-tematic error dependence on topography, low rainfall estimates",semi-arid northwestern basins,"ver short period, analysis lilmited to basin scale","O et al., 2017",2017,Hydrology and Earth System Sciences,https://www.hydrol-earth-syst-sci.net/21/6117/2017/
ZUB17,Amazon Basin,Single region,Peru & Ecuador,South America,-6,-75,,Rain,Land,Hydrological,IMERG_F,IMERG_V03,3/14/2020,6/15/2020,16,"daily,monthly",0.1,basin,basin,I,,"daily,monthly",,,"TMPA_3B42V7,TMPA_RT",gs,,"POD,FAR,CSI,HSS,FOH",,,over estimation,"Zubieta et al., 2017",2017,Hydrology and Earth System Sciences,https://www.hydrol-earth-syst-sci.net/21/3543/2017/
WAN17B,Mekong River Basin,Multple regions,China,Asia,20,100,795 000,Rain,Land,,IMERG_F,,4/14/2020,1/16/2020,22,"daily,seasonal,annual",0.25,,point-grid,F,,"daily,seasonal,annual",,,TRMM_3B42V7,gs,"COR,RRMSE,RBias","POD,FAR,CSI,ACC","detects slight rainfall, reproduce PDF rain inteensity, capture inter-annual variability","overestimate the amount of rain when the rain is light (less than 8 mm at daily scale), and underestimate when the rain is heavy (more than 14 mm at daily scale)","limited gauge in LMB, coarser resolution and no subdaily evaluation","Wang et al., 2017",2017,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,https://ieeexplore.ieee.org/document/7879232
MAYR17,Central and Northern Mexico,Single region,Mexico,North America,22.4,105,"11,54,726",Rain,Land,,IMERG_F,,4/14/2020,10/15/2020,19,"1h,daily,seasonal",,,point-grid,,,"1h,daily,seasonal",,,,g,"RMSE,Bias,RBias","POD,FAR,FBI,ETS,NS","daily, seasonal sclae","hourly scale, extreme values of hourly precipitation",sparse gauge distribution,"Mayor et al., 2017",2017,Remote Sensing,https://www.mdpi.com/2072-4292/9/5/503
KIM17,"Korea,Japan",Multiple nations,"Korea,Japan",Asia,,,,Rain,Land,,IMERG_F,IMERG_V03,3/14/2020,8/14/2020,6,"daily,seasonal",0.1,national,point-grid,F,,"daily,seasonal",,,TRMM_3B42V7,gs,"RMSE,Bias,MAE","POD,FAR,ETS,EDS,SEDS,SEDI","monsoon season, convective rainfall",orographic and coastal regions,very short duration,"Kim et al., 2017",2017,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S0169809516306901
ASO17,Southern Canada,Multiple regions,Canada,North America,50,-90,,Rain,Land,,IMERG_F,IMERG_V03,3/14/2020,1/16/2020,23,"6h,daily,monthly",0.1,regional,"grid-grid,point-grid",F,,"6h,daily,monthly",,,,g,"COR,RMSE,ME","POD,FAR,CSI",continental semiarid interior ecozones,mountainous and coastal regions characterized by heavy P regimes,,"Asong et al., 2017",2017,Journal of Hydrometeorology,https://journals.ametsoc.org/doi/10.1175/JHM-D-16-0187.1
TAN17B,Southeastern United States,Single region,USA,North America,35,-88,,Rain,Land,,IMERG_F,IMERG_V03,6/14/2020,12/15/2020,19,"1h,3h,6h,12h,daily","0.1,0.2 to 0.25",,grid-grid,F,,,"1h,3h,6h,12h,24h",,TRMM_3B42V7,rs,"COR,RMSE,NME,NMAE","POD,FAR,HSC,Bias in detection",improve whenscaled up to larger areas and longer time periods,lower spatiotemporal scales,restrictedtolandand over a limited range of latitudes,"Tan et al., 2017",2017,Journal of Hydrometeorology,https://journals.ametsoc.org/doi/pdf/10.1175/JHM-D-16-0174.1
HE17,Upper Mekong River Basin,Single region,China,Asia,23,100,"1,50,000",Rain,Land,Hydrological,IMERG_F,,5/14/2020,10/15/2020,12,daily,"0.1,0.25",,grid-grid,I,,daily,,,TRMM_3B42V7,gs,"COR,Pbias,BE","POD,FAR,CSI,FOH,HSS",rain ranks lowerthan 10 mm day21and higher than 100 mm day.Detects the occurrences of light-rainand extreme heavy-rain ranks,rain rank falling into the10–50mm/day,restricted to summer season and excluded snowfall,"He et al., 2017",2017,Journal of Hydrometeorology,https://journals.ametsoc.org/doi/pdf/10.1175/JHM-D-16-0198.1
LI17,Ganjiang River Basin,Single region,China,Asia,26.5,114.5,"81,158",Rain,Land,Hydrological,IMERG_F,IMERG_V03,3/14/2020,9/14/2020,7,1h,0.1,"basin,grid",grid-grid,F,,1h,hourly,,,gr,"COR,RMSE,ME,RBias",NSCE,basin scale,grid-scale,,"Li et al., 2017",2017,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S0169809516302010
SIU17,Khorasan Razavi province,,Iran,Asia,35.1,59.1,"118,851 ",Rain,Land,,IMERG_F,IMERG_V03,3/14/2020,12/14/2020,10,3h,0.1,national,point-grid,F,,3h,,,TRMM_3B42V7,gs,"COD,RMSE,MAE,Mbias,RBias","POD,FAR,CSI",better than TMPA statistically,underestimated rainfal,,"Siuki et al., 2017",2017,International Journal of Remote Sensing,https://www.tandfonline.com/doi/abs/10.1080/01431161.2016.1268735
TAN18,Malaysia,National,Malaysia,Asia,4,109.5,330000,Rain,Land,,"IMERG_E,IMERG_L,IMERG_F",IMERG_V04,3/14/2020,2/16/2020,24,"daily,monthly,seasonal,annual","0.1,0.25",national,grid-grid,I,,"daily,monthly,seasonal,annual",,,"TMPA_3B42V7,3B42RT,PERSIANN-CDR",gs,"COR,RMSE,RBias","POD,FAR,CSI","NE monsoon, eastern peninsular ","northern-peninsular, regions with high spatio-temporal variability of precip", Uneven rain gauge distribution (due to forest area).,"Tan and Santo, 2018",2018,Atmospheric Research,https://www.sciencedirect.com/
ASO18,Southern Canada,Multiple regions,Canada,North America,52,-95,,Rain,Land,,IMERG_F,IMERG_V03,3/14/2020,1/16/2020,23,"6h,daily,monthly",0.1,regional,"grid-grid,point-grid",F,0.1,"6h,daily,monthly",,,,g,"COR,RMSE,ME","POD,FAR,ETS,EDS,SEDS,Fbias","regional variations of mean daily precipitation,istribution of heavy precipitationamounts ",over-detection of heavy precipitation events,,"Asong et.,al, 2018",2018,Journal of Hydrometeorology,https://journals.ametsoc.org/doi/full/10.1175/JHM-D-16-0187.1
WAN18,Global ,Global ,,Global,,,,Rain,"Land,Ocean",,IMERG_F,"IMERG_V03,IMERG_V04,IMERG_V05",6/14/2020,5/15/2020,12,daily,2.5,,grid-grid,I,,daily,,"GPCP_V_2.3,MSWEP_V_2.1",,gs,"COR,BR,VR","POD,FAR,CSI",IMERG V04 and V05 show significant improvements over oceans,the difference over land is less significant.,"more gauges in southern and eastern China, fewer gauges are located in northern and western China",Wang et al. 2018,2018,Journal of Hydrology,https://www.sciencedirect.com/science/article/pii/S0022169418304864
SUN18,Contiguous US,National,USA,North America,40,-90,12000000,Rain,Land,Diurnal Cycle,IMERG_F,IMERG_V04,,,6,"1h,12h",1,,grid-grid,F,0.009,,"1h,12h",,,gr,COR,,diurnal and semidiurnal variations,"region specific, mount. reg, conv. reg","Limited to local level and 2 summer period (Jun-Aug, 2014-15)","Sungmin and Kirstetter, 2018",2018,Quarterly Journal of the Royal Meteorological Society,https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.3218
SU18,Various regions,Multiple regions,China,Asia,35.5,104,,Rain,Land,error analysis,IMERG_F,"IMERG_V04,IMERG_V05",4/14/2020,12/16/2020,33,3h,0.1,"national,regional",grid-grid,F,0.1,3hr,,,GSMaP_V7,gs,"COR,RMSE,MAE,RBias","POD,FAR,CSI",V05C can best reproduce the PDF in terms of precipitation intensity,IMERG V05 products in east and south China,Rain gauges unevenly distributed through mainland China,"Su et al., 2018",2018,Remote Sensing,https://www.mdpi.com/2072-4292/10/9/1420
CHI18,Calabria ,Single region,Calabria ,Europe,39,16.5,15000,Rain,Land,created a merged product,IMERG_E,IMERG_V04,3/15/2020,12/16/2020,22,"0.5h,1h,3h,6h,12h,daily",0.1,,grid-grid,I,,"0.5h,1h,3h,6h,12h,24h",,,"SM2RASC,IMERG?+?SM2RASC",gs,"COR,RMSE,Bias","POD,FAR",time resolutions >6?h,"daily scale, southern parts",interpolation of IMERG to 12.5 km,"Chiravalloti et al., 2018",2018,Atmospheric Research, https://www.sciencedirect.com/
RAH18,Pakistan,National,Pakistan,Asia,30.5,68.5,796000,Rain,Land,propose an EP algorithm,IMERG_F,,1/15/2020,12/16/2020,24,daily,0.25,regional,grid-grid,I,,daily,,,"TMPA_3B43V7,PERSIANN",gs,"COR,RMSE,ME","POD,FAR,CSI",plain elevation,"highly elevated zones, arid zones",coarser scale evaluation,"Rahman et al., 2018",2018,Remote Sensing,https://www.mdpi.com
OMR18,Various regions,Multiple regions,USA,North America,31.15,-100.05,695663,Rain,Land,Hurricane,IMERG_F,IMERG_V05,8/18/2020,8/18/2020,0.13,1h,0.1,,grid-grid,F,,,1h,,,r,"COR,RMSE,ME,RBias","POD,FAR,CSI,PSS",appropriately detect and trace hurricane spatial path  and variability,"precip rate, excessive amount of rainfall, lower intensities, storm core.",Analysis performed only over radar grids with cumulative rainfall records of over 10 mm,"Omranian et al., 2018",2018,Remote Sensing,https://www.mdpi.com/2072-4292/10/7/1150
PRA18,India,National,India,Asia,22.5,82.7,3287590,Rain,Land,,IMERG_F,IMERG_V03,6/14/2020,9/14/2020,4,daily,0.25,national,grid-grid,I,0.25,daily,,,"TMPA_3B42V7,GSMaP_V6",gs,"COR,RMSE,MAE,CV","POD,FAR,FBI,PSS","mean monsoon rainfall and its variability, low precip rates.","orog. precip (NE), rain-shadow region (SE peninsular), comlex topograpy",Sparse gauge distribution over some regio. Only one monsoon season,"Prakash et al., 2018",2018,Journal of Hydrology, https://www.sciencedirect.com/
MA18,Tibetan Plateau,Single region,China,Asia,33,88.5,2500000,Rain,Land,Downscaling,IMERG_F,IMERG_V05,1/15/2020,12/15/2020,12,"daily,monthly","0.1,0.25",,,T,,"daily,monthly",,,TMPA_3B43V7 ,gs,"COR,RMSE,Bias,MAE",,wet seasons,dry seasons.,sparsely and unevenly distribution of gauge over the TP,"Me et al., 2018,",2018,Remote Sensing,https://www.mdpi.com/2072-4292/10/12/1883
TIA18,Various regions,Multiple regions,China,Asia,32.5,112.5,6250000,Rain,Land,density of raingauge,,,,,14,"1h,daily",0.1,regional,point-grid,F,,"1h,daily",,,,g,"Bias,ABias,ME,MAE","POD,FOH",denser rain gauge network ,POD in dense raingauge,based on a relatively short temporal record,"Tian et al., 2018",2018,Journal of Hydrometeorology,https://journals.ametsoc.org/doi/full/10.1175/JHM-D-17-0161.1
RAM18,Germany,Single nation,Germany,Europe,51,10.5,"357,021 km2.",Rain,Land,,IMERG_F,IMERG_V05,12/14/2020,11/17/2020,36,,0.1,national,grid-grid,F,,,"hourly,seasonal",,,r,"COR,RMSE,Bias,MAE","POD,FAR,CSI,FBI,HSS",,"overestimates the quantity in winter,  topographically-induced precipitation",datasets are not complete independent,"Ramsauer et.al.,2018",2018,Remote Sensing,https://www.mdpi.com/2072-4292/10/12/2029/htm
LU18,Tibetan Plateau,,China,Asia,32.5,89,"25,00,000",Rain,Land,Hydrological,IMERG_F,IMERG_V06,4/14/2020,3/17/2020,36,"daily,monthly,seasonal",0.25,"grid,basin",grid-grid,I,0.25,"daily,monthly,seasonal",,,"GSMaP-MVK,GSMaP-Gauge",gs,"COR,RMSE,RRMSE,RBias,ME","POD,FAR,FBI,ETS,NSE",spatial patterns of precipitation,measuring light rainfall and winter snow,,"Lu et.al.,2018",2018,Remote Sensing,https://www.mdpi.com/2072-4292/10/12/2022
ZHA18,USA,Single nation,USA,North America,40,-95,2700,Rain,Land,,"IMERG_E,IMERG_F",IMERG_V05,8/15/2020,7/17/2020,24,"1h,daily,seasonal",0.1,,grid-grid,F,,,,"hourly,daily,seasonal",,m,"COR,Bias,MAD",,temperature > 270 K,"<270 K, theWRF product is more accurate than the IMERG","limited to particular location, short duration","Zhang et.al.,2018",2018,Journal of Hydrometeorology,https://journals.ametsoc.org/doi/full/10.1175/JHM-D-18-0153.1
JIA18,Mishui Basin,Single region,China,Asia,26.5,113,9972,Rain,Land,Hydrological,"IMERG_E,IMERG_L,IMERG_F",IMERG_V05,4/14/2020,12/15/2020,21,"daily,monthly",0.25,"grid,basin",grid-grid,I,,"daily,monthly",,,"TMPA_3B42V7, TMPA_RT",gs,"COR,RMSE,CRMSE,RBias,ME,SD","POD,FAR,NSE","IMERG_F, basin scale",grid scale,,"Jiang et.al.,2018",2018,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S0169809518307634
HUA18,Taiwan,Multiple regions,Taiwan,Asia,23,121,"36,192",Rain,Land,,IMERG_F,IMERG_V05,3/14/2020,2/17/2020,36,"1h,daily,monthly,seasonal,annual",0.1,"national,regional",grid-grid,F,0.1,"daily,monthy,seasonal,annual,diurnal, semi-diurnal",,,,g,"RMSE,anomolies",,"plains, bimodal pattern,seasonal counterclockwise rotation feature","mountainous area, warm seasons",,"Huang et.al.,2018",2018,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S0169809518304666
CAR18,Sardinia and Sicily,,Italy,Europe,37,14,"49,801",Rain,Land,,IMERG_F,IMERG_V04,1/15/2020,12/17/2020,36,"1h,3h,6h,12h,1d to 60d",0.1,,grid-grid,F,,"1h,daily,aggregation time scale",,,,g,"COR,S-RMSE,S-MBE","POD,FAR,CSI,MISS",greement betweenGPMandmeasures is better in terms of total volume above a given thresholdrather than in terms of occurrences above the same threshold,"proximity of land-sea transition, coastline pixels",,"Caracciolo et.al.,2018",2018,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S0169809518300747
WU18,China,Multiple regions,China,Asia,35.5,104,"96,00,000",Rain,Land,,"IMERG_E,IMERG_L",IMERG_V05,1/15/2020,12/16/2020,24,daily,0.1,"national,regional",point-grid,F,,daily,,,3B42RT,gs,"COR,RMSE,ME,MAE,RMAE","POD,FAR,CSI",wet areas with relatively heavy rainfall intensity and/or during wet season,wet areas with relatively heavy rainfall intensity and/or during wet season,"sparsely spaced raingauges  in the northern and western parts, especially in the Tibetan Plateau.","Wu et.al.,2018",2018,Remote Sensing,https://www.mdpi.com/2072-4292/10/11/1778
RET18,Cyprus,,Cyprus,Asia,35.12,33.4,9251,Rain,Land,,IMERG_F,IMERG_V04,4/14/2020,2/17/2020,35,"daily,monthly",0.1,,point-grid,F,,"daily,monthly",,,,g,Bias,"POD,FAR,POFD,SR,TS",monthly scale,extreme precipitation,detailed analysis is missing,"Retails et.al.,2018",2018,Remote Sensing,https://www.mdpi.com/2072-4292/10/10/1520
SAT18,Pakistan,,Pakistan,Asia,30.5,69,"8,03,940",Rain,Land,,IMERG_F,"IMERG_V03,IMERG_V04,IMERG_V05",1/15/2020,12/15/2020,12,"daily,monthly",0.25,"national,regional",grid-grid,I,,"daily,monthly",,,"TMPA,GsMaPV06_07,CMORPH",gs,"COR,CRMSE,Pbias,SD","POD,FAR,CSI,HSS",monthly precipitation estimates,glacial regions,monthly timescale is strongly dependent on the gauge adjustment.,"Satge et.al.,2018",2018,Remote Sensing,https://www.mdpi.com/2072-4292/10/9/1373
TAN18B,Kelantan River Basin,,Malaysia,Asia,5,102,"12,134",Rain,Land,Hydro_SWAT,"IMERG_E,IMERG_L,IMERG_F",IMERG_V05,3/14/2020,12/16/2020,34,"daily,monthly",,,point-grid,,,"daily,monthly",,,,g,"COR,RMSE,RB,MAD","POD,FAR,CSI,ETS,ACC",temporal variability of monthly precipitation,IMERG_F did not show significant improvement compared to the near real-time products in hydro-meteorological assessment,"point to pixel comparison, limited daily and monthly scale","Tan et.al.,2018",2018,Remote Sensing,https://www.mdpi.com/2072-4292/10/7/1011
